显示序号,型号,规格,标准,电压等级,计量单位,报价数量,颜色,报价产品,外购,红本价,报价
1,ZB-YJV22,3*120+1*70,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 3*120+1*70,N,486068,486068
2,ZB-YJV22,3*95+1*50,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 3*95+1*50,N,377587,377587
3,ZB-YJV22,3*70+1*35,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 3*70+1*35,N,273567,273567
4,ZB-YJV22,3*50+2*25,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 3*50+2*25,N,220664,220664
5,ZB-YJV22,3*25+2*16,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 3*25+2*16,N,124214,124214
6,ZB-YJV22,4*50+1*25,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 4*50+1*25,N,246195,246195
7,ZB-YJV22,4*16+1*10,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 4*16+1*10,N,85817,85817
8,ZB-YJV22,4*10+1*6,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 4*10+1*6,N,55088,55088
9,ZB-YJV22,5*6,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 5*6,N,37545,37545
10,ZB-YJV22,3*4+1*2.5,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZB-YJV22 3*4+1*2.5,N,19032,19032
11,ZBN-YJV22,3*50+2*25,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZBN-YJV22 3*50+2*25,N,222695,222695
12,ZBN-YJV22,3*25+2*16,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZBN-YJV22 3*25+2*16,N,125719,125719
13,ZBN-YJV,5*16,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZBN-YJV 5*16,N,92020,92020
14,ZBN-YJV,2*35,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZBN-YJV 2*35,N,79870,79870
15,ZBN-YJV,2*6,G1|国标圆紧,0.6/1kV,Km,0,黑色,ZBN-YJV 2*6,N,15352,15352
16,ZBN-KVVP22,8*4,G|国标,450/750V,Km,0,黑色,ZBN-KVVP22 8*4,N,56235,56235
17,ZBN-KVVP22,4*4,G|国标,450/750V,Km,0,黑色,ZBN-KVVP22 4*4,N,31277,31277
18,ZBN-KVVP22,4*2.5,G|国标,450/750V,Km,0,黑色,ZBN-KVVP22 4*2.5,N,22480,22480
19,ZBN-KVVP22,10*1.5,G|国标,450/750V,Km,0,黑色,ZBN-KVVP22 10*1.5,N,34331,34331
20,ZBN-KVVP22,7*1.5,G|国标,450/750V,Km,0,黑色,ZBN-KVVP22 7*1.5,N,24769,24769
